image_number,speciment_id,sex,length_cm
1,408,F,13.543
1,425,F,12.121
2,416,F,12.736
2,421,F,12.366
3,420,F,13.202
3,423,F,12.754
4,426,F,13.489
4,8764,M,12.622
5,427,M,12.134
6,429,M,11.247
6,5509,F,13.177
7,5508,F,12.646
7,4684,F,13.972
8,6059,M,9.854
8,6060,M,11.846
9,6101,M,11.229
10,6408,M,10.939
10,11229,M,11.081
11,7163,M,10.337
12,7166,F,11.451
13,7167,F,13.143
13,7348,F,10.753
14,8054,F,10.155
14,430,M,11.231
15,8055,M,10.487
15,8390,M,11.438
16,8056,M,10.795
16,428,F,13.641
17,8339,M,10.897
17,8600,M,12.292
